Incident_Date,Aircaft_Damage_Type,Time,Onboard_Total,Fatalities,Aircraft_Brand,Operator_Main,Engine_Brand,Aircraft_Age,City,lat,lng,incident_dt,weather_time_utc,temp_2m,rh_2m,dewpoint_2m,cloudcover,windspeed_10m,winddir_10m,surface_pressure,precipitation,rain,showers,snowfall,snow_depth,precipitation_probability
2019-01-12,Substantial,11:30,9.0,0,Canadair,TW 601-C Investment,General Electric,36.0,Uvalde,29.2152,-99.7782,2019-01-12 11:30:00,2019-01-12 11:00:00,11.5,100.0,11.4,100.0,15.1,320.0,983.1,0.0,0.0,0.0,0.0,0.0,
2019-04-04,Substantial,10:56,78.0,0,de,Austrian Airlines,Pratt Whitney,9.0,Innsbruck,47.2683,11.3933,2019-04-04 10:56:00,2019-04-04 10:00:00,13.7,54.0,4.5,20.0,11.5,148.0,926.9,0.2,0.2,0.0,0.0,1.05,
2019-09-20,Substantial,12:30,2.0,0,Cessna,private,Pratt Whitney,31.0,Pepperell,42.6713,-71.6043,2019-09-20 12:30:00,2019-09-20 12:00:00,13.2,61.0,5.9,0.0,6.4,286.0,1010.1,0.0,0.0,0.0,0.0,0.0,
2018-03-06,Damaged beyond repair,14:51,39.0,39,Antonov,Russian AF,,38.0,Latakia,35.54,35.78,2018-03-06 14:51:00,2018-03-06 14:00:00,19.1,81.0,15.9,22.0,22.3,182.0,1008.5,0.0,0.0,0.0,0.0,0.0,
2018-08-28,Substantial,11:15,166.0,0,Airbus,Beijing Capital Airlines,CFMI,,Macau,22.2006,113.5461,2018-08-28 11:15:00,2018-08-28 11:00:00,26.4,91.0,24.8,100.0,18.3,216.0,998.7,1.2,1.2,0.0,0.0,0.0,
2018-09-01,Destroyed,2:58,172.0,0,Boeing,Utair,CFMI,,Sochi,43.5853,39.7203,2018-09-01 02:58:00,2018-09-01 02:00:00,22.4,98.0,22.1,56.0,2.9,90.0,1013.6,0.0,0.0,0.0,0.0,0.0,
2018-09-09,Destroyed,8:45,23.0,20,Let,South West Aviation,Walter,34.0,Yirol,6.5525,30.4981,2018-09-09 08:45:00,2018-09-09 08:00:00,30.0,59.0,21.2,0.0,4.3,95.0,964.5,0.0,0.0,0.0,0.0,0.0,
2018-09-24,Substantial,13:42,3.0,0,Honda,ALTA,GE,1.0,Foz do Iguacu,-25.54,-54.5875,2018-09-24 13:42:00,2018-09-24 13:00:00,28.9,64.0,21.3,4.0,14.5,19.0,991.3,0.0,0.0,0.0,0.0,0.0,
2018-11-30,Substantial,13:53,11.0,0,Cessna,Dirt Dynamics,Pratt Whitney,38.0,Fargo,46.8651,-96.8292,2018-11-30 13:53:00,2018-11-30 13:00:00,-3.8,97.0,-4.2,94.0,8.0,170.0,978.7,0.0,0.0,0.0,0.0,0.04,
2017-01-16,Destroyed,7:19,4.0,39,Boeing,ACT Airlines,Pratt Whitney,,Bishkek,42.8667,74.5667,2017-01-16 07:19:00,2017-01-16 07:00:00,-1.5,58.0,-8.6,1.0,3.3,354.0,932.8,0.0,0.0,0.0,0.0,0.61,
2017-04-08,Substantial,22:17,69.0,0,Boeing,Malaysia Airlines,CFMI,,Sibu,2.303,111.843,2017-04-08 22:17:00,2017-04-08 22:00:00,24.5,97.0,23.9,100.0,3.3,131.0,1008.2,0.0,0.0,0.0,0.0,0.0,
2017-11-19,Substantial,13:21,72.0,0,ATR,Virgin Australia Airlines,Pratt Whitney,,Canberra,-35.2931,149.1269,2017-11-19 13:21:00,2017-11-19 13:00:00,13.1,92.0,11.9,96.0,9.3,106.0,959.9,0.0,0.0,0.0,0.0,0.0,
2015-08-15,Substantial,18:34,159.0,0,Airbus,American Airlines,IAE,,Charlotte,35.2083,-80.8303,2015-08-15 18:34:00,2015-08-15 18:00:00,31.9,34.0,14.2,95.0,3.1,249.0,996.9,0.0,0.0,0.0,0.0,0.0,
2015-08-28,Substantial,15:50,2.0,0,Boeing,Cardig Air,CFMI,,Wamena,-4.0975,138.9511,2015-08-28 15:50:00,2015-08-28 15:00:00,15.3,97.0,14.9,100.0,3.3,131.0,838.9,0.0,0.0,0.0,0.0,0.0,
2015-12-10,Substantial,17:05,7.0,0,Raytheon,Sky Mast,Williams International,7.0,Chicago,41.8375,-87.6866,2015-12-10 17:05:00,2015-12-10 17:00:00,12.0,64.0,5.4,100.0,35.6,200.0,978.3,0.0,0.0,0.0,0.0,0.0,
2014-01-05,Substantial,21:10,179.0,0,Airbus,Air India,IAE,,Jaipur,26.9,75.8,2014-01-05 21:10:00,2014-01-05 21:00:00,8.1,80.0,4.9,0.0,8.6,15.0,963.5,0.0,0.0,0.0,0.0,0.0,
2014-01-12,Destroyed,11:52,4.0,4,Cessna,Theo Steil GmbH,Pratt Whitney,33.0,Trier,49.7567,6.6414,2014-01-12 11:52:00,2014-01-12 11:00:00,1.0,97.0,0.6,82.0,6.8,90.0,1007.1,0.0,0.0,0.0,0.0,0.0,
2014-01-18,Substantial,4:23,4.0,0,McDonnell,Aeronaves TSM,Pratt Whitney,,Saltillo,25.4231,-100.9919,2014-01-18 04:23:00,2014-01-18 04:00:00,5.6,95.0,4.8,4.0,5.6,140.0,845.3,0.0,0.0,0.0,0.0,0.0,
2014-01-29,Substantial,8:42,15.0,0,de,Air Greenland,Pratt Whitney,,Ilulissat,69.2167,-51.1,2014-01-29 08:42:00,2014-01-29 08:00:00,0.7,46.0,-9.7,100.0,32.8,129.0,981.5,0.0,0.0,0.0,0.0,0.35,
2014-07-23,Destroyed,19:06,58.0,48,ATR,TransAsia Airways,Pratt Whitney,,Magong,23.5667,119.5833,2014-07-23 19:06:00,2014-07-23 19:00:00,28.2,86.0,25.6,100.0,47.3,202.0,998.7,0.9,0.9,0.0,0.0,,
2014-11-09,Destroyed,16:52,9.0,9,Learjet,Diplomat Aviation (Ba.),Garrett,35.0,Freeport,40.6515,-73.585,2014-11-09 16:52:00,2014-11-09 16:00:00,10.2,64.0,3.6,100.0,9.4,270.0,1013.2,0.0,0.0,0.0,0.0,0.0,
